Gene,Virulence_factor,Species
pflA, Motility ,VFC0204)] [Helicobacter pylori 26695]
flgG_2, Motility ,VFC0204)] [Helicobacter pylori 26695]
futC1, Immune modulation ,VFC0258)] [Helicobacter pylori 26695]
futC2, Immune modulation ,VFC0258)] [Helicobacter pylori 26695]
kdtA/waaA, Immune modulation ,VFC0258)] [Neisseria meningitidis MC58]
waaP, Immune modulation ,VFC0258)] [Pseudomonas aeruginosa PAO1]
waaC, Immune modulation ,VFC0258)] [Pseudomonas aeruginosa PAO1]
algL, Biofilm ,VFC0271)] [Pseudomonas aeruginosa PAO1]
fptA, Nutritional/Metabolic factor ,VFC0272)] [Pseudomonas aeruginosa PAO1]
phzM, Nutritional/Metabolic factor ,VFC0272)] [Pseudomonas aeruginosa PAO1]
vexB, Immune modulation ,VFC0258)] [Salmonella enterica subsp. enterica serovar Typhi str. CT18]
sodCI, Stress survival ,VFC0282)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
sprB, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
hilC, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
orgB/SctL, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
prgK, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
prgJ, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
prgI, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
prgH, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
hilD, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
hilA, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
iagB, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
sicP, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
iacP, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
sipD, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
sipC/sspC, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
sipB/sspB, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
sicA, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
spaS, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
spaR, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
spaQ, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
spaP, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
spaO/sctQ, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
invJ, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
invI, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
invC/sctN, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
invB, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
invA, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
invE, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
invG, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
invF, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
invH, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
orgC, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
orgA/sctK, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
icsA/virG, Motility ,VFC0204)] [Shigella flexneri 2a str. 301]
icsP/sopA, Exoenzyme ,VFC0251)] [Shigella flexneri 2a str. 301]
tcpH, Adherence ,VFC0001)] [Vibrio cholerae O1 biovar El Tor str. N16961]
tcpA, Adherence ,VFC0001)] [Vibrio cholerae O1 biovar El Tor str. N16961]
tcpB, Adherence ,VFC0001)] [Vibrio cholerae O1 biovar El Tor str. N16961]
tcpQ, Adherence ,VFC0001)] [Vibrio cholerae O1 biovar El Tor str. N16961]
tcpR, Adherence ,VFC0001)] [Vibrio cholerae O1 biovar El Tor str. N16961]
tcpD, Adherence ,VFC0001)] [Vibrio cholerae O1 biovar El Tor str. N16961]
tcpS, Adherence ,VFC0001)] [Vibrio cholerae O1 biovar El Tor str. N16961]
tcpT, Adherence ,VFC0001)] [Vibrio cholerae O1 biovar El Tor str. N16961]
tcpE, Adherence ,VFC0001)] [Vibrio cholerae O1 biovar El Tor str. N16961]
tcpF, Adherence ,VFC0001)] [Vibrio cholerae O1 biovar El Tor str. N16961]
lytA, Exoenzyme ,VFC0251)] [Streptococcus pneumoniae TIGR4]
dotV, Effector delivery system ,VFC0086)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
katA, Stress survival ,VFC0282)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
sodC, Stress survival ,VFC0282)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
estIa, Exotoxin ,VFC0235)] [Escherichia coli O78:H11:K80 str. H10407]
grab, Others ,VFC0346)] [Streptococcus pyogenes M1 GAS]
hitC, Nutritional/Metabolic factor ,VFC0272)] [Haemophilus influenzae Rd KW20]
hxuA, Nutritional/Metabolic factor ,VFC0272)] [Haemophilus influenzae Rd KW20]
hxuB, Nutritional/Metabolic factor ,VFC0272)] [Haemophilus influenzae Rd KW20]
fbpB, Nutritional/Metabolic factor ,VFC0272)] [Neisseria meningitidis MC58]
fbpA, Nutritional/Metabolic factor ,VFC0272)] [Neisseria meningitidis MC58]
fbpC, Nutritional/Metabolic factor ,VFC0272)] [Neisseria meningitidis MC58]
cylX, Exotoxin ,VFC0235)] [Streptococcus agalactiae NEM316]
cylA, Exotoxin ,VFC0235)] [Streptococcus agalactiae NEM316]
cylB, Exotoxin ,VFC0235)] [Streptococcus agalactiae NEM316]
mbtB, Nutritional/Metabolic factor ,VFC0272)] [Mycobacterium tuberculosis H37Rv]
mbtA, Nutritional/Metabolic factor ,VFC0272)] [Mycobacterium tuberculosis H37Rv]
mbtF, Nutritional/Metabolic factor ,VFC0272)] [Mycobacterium tuberculosis H37Rv]
mbtE, Nutritional/Metabolic factor ,VFC0272)] [Mycobacterium tuberculosis H37Rv]
mbtD, Nutritional/Metabolic factor ,VFC0272)] [Mycobacterium tuberculosis H37Rv]
mbtC, Nutritional/Metabolic factor ,VFC0272)] [Mycobacterium tuberculosis H37Rv]
mbtL, Nutritional/Metabolic factor ,VFC0272)] [Mycobacterium tuberculosis H37Rv]
esxA, Effector delivery system ,VFC0086)] [Mycobacterium tuberculosis H37Rv]
esxB, Effector delivery system ,VFC0086)] [Mycobacterium tuberculosis H37Rv]
hbhA, Adherence ,VFC0001)] [Mycobacterium tuberculosis H37Rv]
ssrB, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssrA, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
spiC/ssaB, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssaC, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssaD, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssaE, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
sseA, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
sseB, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
sscA, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
sseC, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
sseD, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
sseE, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
sscB, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
sseF, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
sseG, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssaG, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssaH, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssaI, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssaJ, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssaK, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssaL, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssaM, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssaV, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssaN, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssaO, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssaP, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssaQ, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssaR, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssaS, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssaT, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssaU, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ssaX, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
fabZ, Immune modulation ,VFC0258)] [Brucella melitensis bv. 1 str. 16M]
waaA/kdtA, Immune modulation ,VFC0258)] [Brucella melitensis bv. 1 str. 16M]
plc, Exotoxin ,VFC0235)] [Clostridium perfringens str. 13]
cpb, Exotoxin ,VFC0235)] [Clostridium perfringens B str. ATCC 3626]
ext, Exotoxin ,VFC0235)] [Clostridium perfringens str. NCTC 8533B4D]
C2I, Exotoxin ,VFC0235)] [Clostridium botulinum C str. 203U28]
C2II, Exotoxin ,VFC0235)] [Clostridium botulinum C str. 203U28]
tcnA, Exotoxin ,VFC0235)] [Clostridium novyi str. ATCC19402]
YE_RS15475, Immune modulation ,VFC0258)] [Yersinia enterocolitica subsp. enterocolitica 8081]
esxN, Effector delivery system ,VFC0086)] [Mycobacterium tuberculosis H37Rv]
ACA60977, Exotoxin ,VFC0235)] [Clostridium septicum str. NH2]
msrA/B(pilB, Stress survival ,VFC0282)] [Neisseria meningitidis MC58]
pseB, Immune modulation ,VFC0258)] [Acinetobacter baumannii ACICU]
lpxD, Immune modulation ,VFC0258)] [Acinetobacter baumannii ACICU]
mshQ, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
mshO, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
mshD, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
mshC, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
mshB, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
mshG, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
mshL, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
mshK, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
mshJ, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
mshI1, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
mshI, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
ompA, Adherence ,VFC0001)] [Rickettsia rickettsii str. Sheila Smith]
wbtH, Immune modulation ,VFC0258)] [Francisella tularensis subsp. tularensis SCHU S4]
feoB, Nutritional/Metabolic factor ,VFC0272)] [Francisella tularensis subsp. tularensis SCHU S4]
slpA, Adherence ,VFC0001)] [Clostridium difficile 630]
cpoS, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
IPAM, Effector delivery system ,VFC0086)] [Chlamydia trachomatis D/UW-3/CX]
lepB, Effector delivery system ,VFC0086)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
drrA/sidM, Effector delivery system ,VFC0086)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
STM0266, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0267, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0268, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0269, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0270, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0271, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0272, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0273, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0274, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0275, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0276, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
tae4, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0278, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0279, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0280, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0281, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0282, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0283, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0284, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0285, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0286, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0287, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
tlde1, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0289, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
STM0290, Effector delivery system ,VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
ipgB1, Effector delivery system ,VFC0086)] [Shigella flexneri 2a str. 301]
virA, Effector delivery system ,VFC0086)] [Shigella flexneri 2a str. 301]
ipgB2, Effector delivery system ,VFC0086)] [Shigella flexneri 2a str. 301]
yopE, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
espJ, Effector delivery system ,VFC0086)] [Escherichia coli O157:H7 str. EDL933]
ata, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilM, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilN, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilO, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilP, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilQ, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilT, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilU, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilF, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
fimV, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilA, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilB, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilC, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
gspO/pilD, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
tsaP, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
fimU, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilV, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilW, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilX, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilY1, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
ACICU_RS16840, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilE, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
fimT, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilG, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilH, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilI, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilJ, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilS, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
pilR, Adherence ,VFC0001)] [Acinetobacter baumannii ACICU]
tapD/pilD, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
fimA, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
fimC, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
fimD, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
fimE, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
fimF, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
tapA, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
tapB, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
tapC, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
tapM, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
tapN, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
tapO, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
tapP, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
tapQ, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
tapT, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
tapU, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
tapW, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
tppA, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
tppB, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
tapY1, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
tppE, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
tppF, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
tapV, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
tapF, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
flpL, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
flpK, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
flpJ, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
flpI, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
flpH, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
flpG, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
flpF, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
flpE, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
flpD, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
flpC, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
flpB, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
flpA, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
flp1, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
mshP, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
mshA, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
mshF, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
mshE, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
mshN, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
mshM, Adherence ,VFC0001)] [Aeromonas hydrophila ML09-119]
bslA, Adherence ,VFC0001)] [Bacillus anthracis str. Sterne]
badA/vomp/brp, Adherence ,VFC0001)] [Bartonella henselae str. Houston-1]
fhaB, Adherence ,VFC0001)] [Bordetella pertussis Tohama I]
prn, Adherence ,VFC0001)] [Bordetella pertussis Tohama I]
fim2, Adherence ,VFC0001)] [Bordetella pertussis Tohama I]
fim3, Adherence ,VFC0001)] [Bordetella pertussis Tohama I]
fimX, Adherence ,VFC0001)] [Bordetella pertussis Tohama I]
fimB, Adherence ,VFC0001)] [Bordetella pertussis Tohama I]
fimC, Adherence ,VFC0001)] [Bordetella pertussis Tohama I]
fimD, Adherence ,VFC0001)] [Bordetella pertussis Tohama I]
tcfA, Adherence ,VFC0001)] [Bordetella pertussis Tohama I]
fhaC, Adherence ,VFC0001)] [Bordetella pertussis Tohama I]
bigA, Adherence ,VFC0001)] [Brucella canis ATCC 23365]
btaE, Adherence ,VFC0001)] [Brucella melitensis biovar Abortus 2308]
bigB, Adherence ,VFC0001)] [Brucella melitensis bv. 1 str. 16M]
bmaB/omaA, Adherence ,VFC0001)] [Brucella melitensis bv. 1 str. 16M]
bmaA, Adherence ,VFC0001)] [Brucella suis 1330]
bmaC, Adherence ,VFC0001)] [Brucella suis 1330]
btaF, Adherence ,VFC0001)] [Brucella suis 1330]
pilA, Adherence ,VFC0001)] [Burkholderia pseudomallei K96243]
pilB, Adherence ,VFC0001)] [Burkholderia pseudomallei K96243]
pilC, Adherence ,VFC0001)] [Burkholderia pseudomallei K96243]
pilD, Adherence ,VFC0001)] [Burkholderia pseudomallei K96243]
pilV, Adherence ,VFC0001)] [Burkholderia pseudomallei K96243]
pilS, Adherence ,VFC0001)] [Burkholderia pseudomallei K96243]
pilR, Adherence ,VFC0001)] [Burkholderia pseudomallei K96243]
pilQ, Adherence ,VFC0001)] [Burkholderia pseudomallei K96243]
pilO, Adherence ,VFC0001)] [Burkholderia pseudomallei K96243]
pilN, Adherence ,VFC0001)] [Burkholderia pseudomallei K96243]
pilT, Adherence ,VFC0001)] [Burkholderia pseudomallei K96243]
boaA, Adherence ,VFC0001)] [Burkholderia pseudomallei K96243]
boaB, Adherence ,VFC0001)] [Burkholderia pseudomallei K96243]
pilM, Adherence ,VFC0001)] [Burkholderia pseudomallei K96243]
pilP, Adherence ,VFC0001)] [Burkholderia pseudomallei K96243]
pilL, Adherence ,VFC0001)] [Burkholderia pseudomallei K96243]
cadF, Adherence ,VFC0001)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
pebA, Adherence ,VFC0001)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
jlpA, Adherence ,VFC0001)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
porA, Adherence ,VFC0001)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
Cj1279c, Adherence ,VFC0001)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
omcB, Adherence ,VFC0001)] [Chlamydia trachomatis D/UW-3/CX]
ompA, Adherence ,VFC0001)] [Chlamydia trachomatis D/UW-3/CX]
pmpA, Adherence ,VFC0001)] [Chlamydia trachomatis D/UW-3/CX]
pmpB, Adherence ,VFC0001)] [Chlamydia trachomatis D/UW-3/CX]
pmpC, Adherence ,VFC0001)] [Chlamydia trachomatis D/UW-3/CX]
pmpD, Adherence ,VFC0001)] [Chlamydia trachomatis D/UW-3/CX]
pmpE, Adherence ,VFC0001)] [Chlamydia trachomatis D/UW-3/CX]
pmpF, Adherence ,VFC0001)] [Chlamydia trachomatis D/UW-3/CX]
pmpG, Adherence ,VFC0001)] [Chlamydia trachomatis D/UW-3/CX]
pmpH, Adherence ,VFC0001)] [Chlamydia trachomatis D/UW-3/CX]
